range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
37, 1.606696611999918e9, 2, -1.337068117231478e6, 6.789461649328559e6, -497067.0198486533, -1.3372812506801656e6, 6.789894301506161e6, -496781.9403272695, 559.4086471198787, 560.2536097569478
37, 1.606696611999918e9, 3, -1.337068117231478e6, 6.789461649328559e6, -497067.0198486533, -1.3370948364134142e6, 6.7892607433775645e6, -497300.7465613441, 308.20224244727825, 309.36271923662287
37, 1.606696611999918e9, 4, -1.337068117231478e6, 6.789461649328559e6, -497067.0198486533, -1.3371889445138348e6, 6.789492697968519e6, -497446.36569525255, 398.5445628848762, 399.3325951349824
38, 1.606696671999918e9, 2, -1.2308291795590776e6, 6.76195540238598e6, -943998.3851827165, -1.2310452791545116e6, 6.762431081781668e6, -943696.7242697418, 603.0233693904279, 603.2986234406501
38, 1.606696671999918e9, 3, -1.2308291795590776e6, 6.76195540238598e6, -943998.3851827165, -1.2308441320562768e6, 6.761735913639787e6, -944237.0520773191, 325.5083346171275, 324.593243086196
38, 1.606696671999918e9, 4, -1.2308291795590776e6, 6.76195540238598e6, -943998.3851827165, -1.230935858222099e6, 6.761980448329311e6, -944372.7253755076, 390.06381680760785, 390.0489922564019
39, 1.606696731999918e9, 2, -1.1196915564924714e6, 6.704542026476414e6, -1.3868581809586287e6, -1.1199103585098602e6, 6.705064516852116e6, -1.3865420541473376e6, 648.6522096699413, 648.6961355920113
39, 1.606696731999918e9, 3, -1.1196915564924714e6, 6.704542026476414e6, -1.3868581809586287e6, -1.1196944382064599e6, 6.704302543234939e6, -1.3871004416435466e6, 339.56757521979256, 340.6622472183717
39, 1.606696731999918e9, 4, -1.1196915564924714e6, 6.704542026476414e6, -1.3868581809586287e6, -1.1197838942675826e6, 6.704562026938949e6, -1.3872260697782058e6, 381.0801611077533, 379.8268905488117
40, 1.606696791999918e9, 2, -1.0043922574551535e6, 6.6174301121388525e6, -1.8237367915697033e6, -1.0046133917526497e6, 6.618003143412692e6, -1.823408798797039e6, 695.7950643790223, 696.3077460768912
40, 1.606696791999918e9, 3, -1.0043922574551535e6, 6.6174301121388525e6, -1.8237367915697033e6, -1.0043828573107135e6, 6.617169279790241e6, -1.8239811280752392e6, 356.70890888805224, 357.52231361842223
40, 1.606696791999918e9, 4, -1.0043922574551535e6, 6.6174301121388525e6, -1.8237367915697033e6, -1.0044701228630062e6, 6.617446203515406e6, -1.8240969249849261e6, 374.28022457175325, 368.80622405204997
41, 1.606696851999918e9, 2, -885683.7446054582, 6.500962833191218e6, -2.2527509908239283e6, -885906.7249246801, 6.501590023287604e6, -2.2524142237574877e6, 749.7157818469608, 745.98907284467
41, 1.606696851999918e9, 3, -885683.7446054582, 6.500962833191218e6, -2.2527509908239283e6, -885661.9485608393, 6.500679376511145e6, -2.2529957170429444e6, 374.7196606104999, 375.11822044879096
41, 1.606696851999918e9, 4, -885683.7446054582, 6.500962833191218e6, -2.2527509908239283e6, -885747.0596487122, 6.500976317071963e6, -2.2531022329841927e6, 357.81303878691364, 357.15775910569926
42, 1.606696911999918e9, 2, -764329.4865067615, 6.355616427700133e6, -2.672052211609386e6, -764553.7027791362, 6.356301222755893e6, -2.6717102524714377e6, 800.6788686903777, 797.5921622090796
42, 1.606696911999918e9, 3, -764329.4865067615, 6.355616427700133e6, -2.672052211609386e6, -764295.2805825664, 6.355309173336225e6, -2.67229547878244e6, 396.00176890427304, 393.38811227156015
42, 1.606696911999918e9, 4, -764329.4865067615, 6.355616427700133e6, -2.672052211609386e6, -764378.218877179, 6.355628753156138e6, -2.6723936194462096e6, 344.6502627354586, 345.0884985578036
43, 1.606696971999918e9, 2, -641099.4837179817, 6.181998038563664e6, -3.0798346194522292e6, -641324.196001105, 6.182743650959049e6, -3.079491535563753e6, 854.7518752382974, 850.9641642693526
43, 1.606696971999918e9, 3, -641099.4837179817, 6.181998038563664e6, -3.0798346194522292e6, -641052.955608033, 6.181665936594818e6, -3.080074426528869e6, 410.9724344696267, 412.26692413239243
43, 1.606696971999918e9, 4, -641099.4837179817, 6.181998038563664e6, -3.0798346194522292e6, -641133.6386723815, 6.182010780515207e6, -3.080165466270315e6, 335.5851663518454, 332.84911788473454
44, 1.606697031999918e9, 2, -516765.7733166503, 5.980842933010911e6, -3.4743429599240236e6, -516990.1083404327, 5.981652279890968e6, -3.474003288789047e6, 907.8729210081362, 905.9498082626449
44, 1.606697031999918e9, 3, -516765.7733166503, 5.980842933010911e6, -3.4743429599240236e6, -516707.11339792877, 5.980485079179454e6, -3.474577162938588e6, 434.3463321277877, 431.6843786655112
44, 1.606697031999918e9, 4, -516765.7733166503, 5.980842933010911e6, -3.4743429599240236e6, -516785.3860272031, 5.9808577683837265e6, -3.4746627535893633e6, 321.0150879052576, 320.7377980426011
