range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
0,1.606694391999918e9,3,1.0599361768288482e6,-4.830167907810399e6,4.852326928346296e6,-3034.9496134872998,4648.256823612873,5291.056059666082,1,1.0599361263892476e6,-4.830168429301157e6,4.852329708716138e6,4.955388030876846,2.829302603819583
0,1.606694391999918e9,3,1.0599361768288482e6,-4.830167907810399e6,4.852326928346296e6,-3034.9496134872998,4648.256823612873,5291.056059666082,2,1.0599374256603138e6,-4.830169340281334e6,4.852326823676488e6,-2.0960261823782504,1.903288936598326
0,1.606694391999918e9,3,1.0599361768288482e6,-4.830167907810399e6,4.852326928346296e6,-3034.9496134872998,4648.256823612873,5291.056059666082,4,1.059936304616235e6,-4.830167747598923e6,4.85232620882363e6,0.7775984887719163,0.7481378219107859
1,1.606694451999918e9,3,876950.170757697,-4.540323631494601e6,5.159090431708946e6,-3061.870264086094,5009.781090647047,4930.742238324072,1,876962.4608138221,-4.540322416314667e6,5.159101442798024e6,18.897396756806447,16.545882403745384
1,1.606694451999918e9,3,876950.170757697,-4.540323631494601e6,5.159090431708946e6,-3061.870264086094,5009.781090647047,4930.742238324072,2,876964.6230986062,-4.54031458166508e6,5.1590976799619375e6,18.684647042121508,18.528538624272947
1,1.606694451999918e9,3,876950.170757697,-4.540323631494601e6,5.159090431708946e6,-3061.870264086094,5009.781090647047,4930.742238324072,4,876950.6308317748,-4.540320860765753e6,5.159097924448867e6,11.73285875587903,8.001859661115583
2,1.606694511999918e9,3,692836.0087450583,-4.229423181200908e6,5.44359388597238e6,-3072.575575998785,5349.858551414795,4549.32498376473,1,692860.6154004065,-4.229420417369983e6,5.443613168108319e6,34.09779143135197,31.383546886593454
2,1.606694511999918e9,3,692836.0087450583,-4.229423181200908e6,5.44359388597238e6,-3072.575575998785,5349.858551414795,4549.32498376473,2,692863.6957006668,-4.2294038144003935e6,5.443608470265373e6,35.5077267061208,36.80138686406033
2,1.606694511999918e9,3,692836.0087450583,-4.229423181200908e6,5.44359388597238e6,-3072.575575998785,5349.858551414795,4549.32498376473,4,692836.8274620936,-4.229417846441081e6,5.443609597786232e6,17.175913518015353,16.612978496314827
3,1.606694571999918e9,3,508562.200329861,-3.89880113244526e6,5.704620564288752e6,-3067.2268710882686,5666.913288772586,4148.466942608737,1,508599.0508426535,-3.898797063898895e6,5.704648197349058e6,47.71816787128962,46.239586768100295
3,1.606694571999918e9,3,508562.200329861,-3.89880113244526e6,5.704620564288752e6,-3067.2268710882686,5666.913288772586,4148.466942608737,2,508603.0959050964,-3.8987716671873066e6,5.70464244741869e6,55.93198440293342,54.950167205894616
3,1.606694571999918e9,3,508562.200329861,-3.89880113244526e6,5.704620564288752e6,-3067.2268710882686,5666.913288772586,4148.466942608737,4,508563.4075992478,-3.898793331356681e6,5.704644522773362e6,23.25667754398158,25.22545276459209
4,1.606694631999918e9,3,325085.0553894847,-3.5498835508249155e6,5.941055882521374e6,-3046.06738848432,5959.473282613137,3729.909303166767,1,325134.0241580685,-3.54987846982286e6,5.941091994363697e6,55.782977786246185,61.055892708859474
4,1.606694631999918e9,3,325085.0553894847,-3.5498835508249155e6,5.941055882521374e6,-3046.06738848432,5959.473282613137,3729.909303166767,2,325139.07620573207,-3.5498442619970576e6,5.941085018645143e6,73.74578266051283,72.87505945634543
4,1.606694631999918e9,3,325085.0553894847,-3.5498835508249155e6,5.941055882521374e6,-3046.06738848432,5959.473282613137,3729.909303166767,4,325086.6816229412,-3.54987343251313e6,5.941088150045202e6,32.91739255332261,33.855840893920565
5,1.606694691999918e9,3,143343.924513994,-3.1841815502272197e6,6.151891883598298e6,-3009.420048586715,6226.176342802996,3295.4637838955973,1,143404.82794146563,-3.1841757861426906e6,6.151936658632066e6,79.79227867073901,75.810657543657
5,1.606694691999918e9,3,143343.924513994,-3.1841815502272197e6,6.151891883598298e6,-3009.420048586715,6226.176342802996,3295.4637838955973,2,143410.9286201146,-3.1841327702577533e6,6.151928230531674e6,88.41356463069623,90.49936587626718
5,1.606694691999918e9,3,143343.924513994,-3.1841815502272197e6,6.151891883598298e6,-3009.420048586715,6226.176342802996,3295.4637838955973,4,143345.9956841045,-3.184169311037433e6,6.151932572288636e6,42.66504041827026,42.54006386583889
6,1.606694751999918e9,3,-35743.53723527363,-2.803284542427064e6,6.336231229358338e6,-2957.6846172342325,6465.775575750189,2847.004621351794,1,-35670.94531973577,-2.803278450198457e6,6.336284914756792e6,94.87148373914914,90.4921182092749
6,1.606694751999918e9,3,-35743.53723527363,-2.803284542427064e6,6.336231229358338e6,-2957.6846172342325,6465.775575750189,2847.004621351794,2,-35663.75218058329,-2.8032266605116157e6,6.336274760960966e6,107.4063166681222,107.75421808590882
6,1.606694751999918e9,3,-35743.53723527363,-2.803284542427064e6,6.336231229358338e6,-2957.6846172342325,6465.775575750189,2847.004621351794,4,-35741.00497298961,-2.803270419183031e6,6.3362805154126175e6,49.31097075498673,51.332187959799704
7,1.606694811999918e9,3,-211285.88813158486,-2.408853171762556e6,6.493290711295102e6,-2891.3345617372697,6677.144231906097,2386.4605799332785,1,-211201.92053637255,-2.40884711826949e6,6.493353622262917e6,105.02248634381739,105.09515543325006
7,1.606694811999918e9,3,-211285.88813158486,-2.408853171762556e6,6.493290711295102e6,-2891.3345617372697,6677.144231906097,2386.4605799332785,2,-211193.58714820552,-2.4087866294835103e6,6.493341430920131e6,122.46014684037169,124.57859686330441
7,1.606694811999918e9,3,-211285.88813158486,-2.408853171762556e6,6.493290711295102e6,-2891.3345617372697,6677.144231906097,2386.4605799332785,4,-211282.89384757765,-2.4088374324456137e6,6.493348848422742e6,60.39992289593543,60.304373347444226
8,1.606694871999918e9,3,-382422.2210636973,-2.0026119722873974e6,6.622404284080388e6,-2810.913643195092,6859.28008694753,1915.8070051229963,1,-382327.2603583698,-2.002606322522579e6,6.622476806784419e6,121.70039823056896,119.62022403764082
8,1.606694871999918e9,3,-382422.2210636973,-2.0026119722873974e6,6.622404284080388e6,-2810.913643195092,6859.28008694753,1915.8070051229963,2,-382317.73386073956,-2.00253725841548e6,6.62246223681398e6,140.91992516155887,140.91933000702846
8,1.606694871999918e9,3,-382422.2210636973,-2.0026119722873974e6,6.622404284080388e6,-2810.913643195092,6859.28008694753,1915.8070051229963,4,-382418.78462454234,-2.0025949049466043e6,6.622471615014947e6,67.9699134452445,69.54536637620677
9,1.606694931999918e9,3,-548326.2722738622,-1.5863417776733516e6,6.723025621042457e6,-2717.0322503476427,7011.30932511823,1437.057841956904,1,-548220.7736626031,-1.5863368804297303e6,6.723108213488347e6,134.69431803114355,134.0725627810575
9,1.606694931999918e9,3,-548326.2722738622,-1.5863417776733516e6,6.723025621042457e6,-2717.0322503476427,7011.30932511823,1437.057841956904,2,-548209.9962122956,-1.5862594198360757e6,6.723090905510055e6,157.27342394029657,156.73224800170573
9,1.606694931999918e9,3,-548326.2722738622,-1.5863417776733516e6,6.723025621042457e6,-2717.0322503476427,7011.30932511823,1437.057841956904,4,-548322.4404897142,-1.58632367682142e6,6.723102587340031e6,78.7387735620588,79.15891846510799
10,1.606694991999918e9,3,-708210.3071356713,-1.161871908231668e6,6.794730189911836e6,-2610.3634992700527,7132.490021486819,952.2576156525955,1,-708094.8011751737,-1.161868080375163e6,6.79482338100757e6,150.37484279551546,148.46164393535736
10,1.606694991999918e9,3,-708210.3071356713,-1.161871908231668e6,6.794730189911836e6,-2610.3634992700527,7132.490021486819,952.2576156525955,2,-708082.7105344683,-1.1617824624870676e6,6.79480296895104e6,169.63177200665285,171.98320386927455
10,1.606694991999918e9,3,-708210.3071356713,-1.161871908231668e6,6.794730189911836e6,-2610.3634992700527,7132.490021486819,952.2576156525955,4,-708206.1603368022,-1.1618530590467837e6,6.794817339561811e6,89.23797549372276,89.26112929156544
11,1.606695051999918e9,3,-861328.7482480668,-731072.1727372545,6.837216845009719e6,-2491.639217013164,7222.215137437381,463.47333098079207,1,-861203.842556936,-731069.6840056537,6.837321231449473e6,164.53297988277694,162.80096518845357
11,1.606695051999918e9,3,-861328.7482480668,-731072.1727372545,6.837216845009719e6,-2491.639217013164,7222.215137437381,463.47333098079207,2,-861190.3737804118,-730976.2103326534,6.83729735507161e6,188.1819584268868,186.64979630660187
11,1.606695051999918e9,3,-861328.7482480668,-731072.1727372545,6.837216845009719e6,-2491.639217013164,7222.215137437381,463.47333098079207,4,-861324.4068070125,-731052.8326675664,6.83731483776579e6,102.50467287901685,99.9773306718897
12,1.606695111999918e9,3,-1.0069815902065235e6,-295844.6834022381,6.850308931364221e6,-2361.6455035718564,7280.015131764626,-27.213689983175442,1,-1.0068479701938131e6,-295843.74023767846,6.850425172723937e6,174.71502920353498,177.10802089351608
12,1.606695111999918e9,3,-1.0069815902065235e6,-295844.6834022381,6.850308931364221e6,-2361.6455035718564,7280.015131764626,-27.213689983175442,2,-1.0068330580069359e6,-295742.7746983588,6.850397490445574e6,200.75285057657015,200.72346432554846
12,1.606695111999918e9,3,-1.0069815902065235e6,-295844.6834022381,6.850308931364221e6,-2361.6455035718564,7280.015131764626,-27.213689983175442,4,-1.006977220348799e6,-295825.061464885,6.850418541645636e6,113.40490411715861,111.43845778706498
13,1.606695171999918e9,3,-1.1445175079464507e6,141884.44994153545,6.833954898302461e6,-2221.218304404695,7305.559985332756,-517.7159889599529,1,-1.1443759364089835e6,141883.71996887916,6.834083710176001e6,189.60803736588446,191.40410613636084
13,1.606695171999918e9,3,-1.1445175079464507e6,141884.44994153545,6.833954898302461e6,-2221.218304404695,7305.559985332756,-517.7159889599529,2,-1.144359517858191e6,141991.75192923128,6.834051911660247e6,213.46328523254311,214.21058830188278
13,1.606695171999918e9,3,-1.1445175079464507e6,141884.44994153545,6.833954898302461e6,-2221.218304404695,7305.559985332756,-517.7159889599529,4,-1.1445133264393185e6,141904.21479496558,6.834077015068881e6,123.88821503491708,123.7765691636967
14,1.606695231999918e9,3,-1.2733367111790252e6,580173.5416866968,6.78822842267892e6,-2071.238706476959,7298.660734830559,-1005.9481270899946,1,-1.2731880267823804e6,580171.104528792,6.788370567524148e6,205.59426228860576,205.71374910077745
14,1.606695231999918e9,3,-1.2733367111790252e6,580173.5416866968,6.78822842267892e6,-2071.238706476959,7298.660734830559,-1005.9481270899946,2,-1.2731700450486268e6,580285.7205480762,6.78833438602055e6,229.08481773104037,227.13415800263357
14,1.606695231999918e9,3,-1.2733367111790252e6,580173.5416866968,6.78822842267892e6,-2071.238706476959,7298.660734830559,-1005.9481270899946,4,-1.2733329895391765e6,580193.4020840671,6.78836404584255e6,137.82148935183426,137.1201243424772
15,1.606695291999918e9,3,-1.3928935088444632e6,1.0170738264942594e6,6.713328045052901e6,-1912.6281189779681,7259.270478457656,-1489.8347569483483,1,-1.3927386241557375e6,1.0170697558322699e6,6.713484321167905e6,218.5492770331573,220.06376623929555
15,1.606695291999918e9,3,-1.3928935088444632e6,1.0170738264942594e6,6.713328045052901e6,-1912.6281189779681,7259.270478457656,-1489.8347569483483,2,-1.3927190321492215e6,1.0171904226513872e6,6.713443545183377e6,239.90199471131086,239.53509383695163
15,1.606695291999918e9,3,-1.3928935088444632e6,1.0170738264942594e6,6.713328045052901e6,-1912.6281189779681,7259.270478457656,-1489.8347569483483,4,-1.3928905773131885e6,1.0170938487289844e6,6.713478278454825e6,152.6644264731436,151.59010130204854
16,1.606695351999918e9,3,-1.5026985810988517e6,1.4506380007894903e6,6.609576324559897e6,-1746.3433390807843,7187.484889101921,-1967.3185925428022,1,-1.5025384791836098e6,1.4506324907645157e6,6.609747553197185e6,233.36148744284654,234.4828988788914
16,1.606695351999918e9,3,-1.5026985810988517e6,1.4506380007894903e6,6.609576324559897e6,-1746.3433390807843,7187.484889101921,-1967.3185925428022,2,-1.5025172437166537e6,1.4507586311575957e6,6.609702037274384e6,253.07340947712015,251.4728980930495
