range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
0,1.606694391999918e9,4,1.059936304616235e6,-4.830167747598923e6,4.85232620882363e6,-3034.9442657287414,4648.300445550845,5291.19293473733,1,1.0599361263892476e6,-4.830168429301157e6,4.852329708716138e6,4.514316030897372,3.5701162959341803
0,1.606694391999918e9,4,1.059936304616235e6,-4.830167747598923e6,4.85232620882363e6,-3034.9442657287414,4648.300445550845,5291.19293473733,2,1.0599374256603138e6,-4.830169340281334e6,4.852326823676488e6,1.137207792725846,2.0424057204084973
0,1.606694391999918e9,4,1.059936304616235e6,-4.830167747598923e6,4.85232620882363e6,-3034.9442657287414,4648.300445550845,5291.19293473733,3,1.0599361768288482e6,-4.830167907810399e6,4.852326928346296e6,0.7467512911143465,0.7481378219107859
1,1.606694451999918e9,4,876950.6308317748,-4.540320860765753e6,5.159097924448867e6,-3061.8645200993933,5009.824352509859,4930.879128015435,1,876962.4608138221,-4.540322416314667e6,5.159101442798024e6,10.13878306706323,12.43973425968525
1,1.606694451999918e9,4,876950.6308317748,-4.540320860765753e6,5.159097924448867e6,-3061.8645200993933,5009.824352509859,4930.879128015435,2,876964.6230986062,-4.54031458166508e6,5.1590976799619375e6,14.270171280843945,15.338526989465826
1,1.606694451999918e9,4,876950.6308317748,-4.540320860765753e6,5.159097924448867e6,-3061.8645200993933,5009.824352509859,4930.879128015435,3,876950.170757697,-4.540323631494601e6,5.159090431708946e6,9.394125954429226,8.001859661115583
2,1.606694511999918e9,4,692836.8274620936,-4.229417846441081e6,5.443609597786232e6,-3072.569355487403,5349.900614775906,4549.462121070122,1,692860.6154004065,-4.229420417369983e6,5.443613168108319e6,21.10246568852387,24.19138037417801
2,1.606694511999918e9,4,692836.8274620936,-4.229417846441081e6,5.443609597786232e6,-3072.569355487403,5349.900614775906,4549.462121070122,2,692863.6957006668,-4.2294038144003935e6,5.443608470265373e6,32.59360275952924,30.332683909664066
2,1.606694511999918e9,4,692836.8274620936,-4.229417846441081e6,5.443609597786232e6,-3072.569355487403,5349.900614775906,4549.462121070122,3,692836.0087450583,-4.229423181200908e6,5.44359388597238e6,18.269938102311116,16.612978496314827
3,1.606694571999918e9,4,508563.4075992478,-3.898793331356681e6,5.704644522773362e6,-3067.220137620798,5666.953291418176,4148.604789849846,1,508599.0508426535,-3.898797063898895e6,5.704648197349058e6,33.87283152269403,36.02603473054279
3,1.606694571999918e9,4,508563.4075992478,-3.898793331356681e6,5.704644522773362e6,-3067.220137620798,5666.953291418176,4148.604789849846,2,508603.0959050964,-3.8987716671873066e6,5.70464244741869e6,46.09240998632314,45.26372667850574
3,1.606694571999918e9,4,508563.4075992478,-3.898793331356681e6,5.704644522773362e6,-3067.220137620798,5666.953291418176,4148.604789849846,3,508562.200329861,-3.89880113244526e6,5.704620564288752e6,26.006805012157248,25.22545276459209
4,1.606694631999918e9,4,325086.6816229412,-3.54987343251313e6,5.941088150045202e6,-3046.0601688661786,5959.510389301626,3730.0485627641224,1,325134.0241580685,-3.54987846982286e6,5.941091994363697e6,47.87890045467261,47.7647244971384
4,1.606694631999918e9,4,325086.6816229412,-3.54987343251313e6,5.941088150045202e6,-3046.0601688661786,5959.510389301626,3730.0485627641224,2,325139.07620573207,-3.5498442619970576e6,5.941085018645143e6,60.87708926077912,60.04928792317971
4,1.606694631999918e9,4,325086.6816229412,-3.54987343251313e6,5.941088150045202e6,-3046.0601688661786,5959.510389301626,3730.0485627641224,3,325085.0553894847,-3.5498835508249155e6,5.941055882521374e6,33.673425758254375,33.855840893920565
5,1.606694691999918e9,4,143345.9956841045,-3.184169311037433e6,6.151932572288636e6,-3009.412463744939,6226.209818001306,3295.605407495871,1,143404.82794146563,-3.1841757861426906e6,6.151936658632066e6,56.52036285955228,59.32840548111363
5,1.606694691999918e9,4,143345.9956841045,-3.184169311037433e6,6.151932572288636e6,-3009.412463744939,6226.209818001306,3295.605407495871,2,143410.9286201146,-3.1841327702577533e6,6.151928230531674e6,78.68626969039379,74.63488200566613
